Data de vencimento,Número,Nome,Valor,Saldo,Situação,Liquidação,Data,Tipo,Descrição,Descrição - Portador,Nome - Vendedor,Data de vencimento original
01/2025,017897/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"1.086,30","1.086,30",Em aberto,00/00/0000,29/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,27/01/2025
01/2025,037977/04,EasyTech Shield Brasil LTDA,"5.942,39","5.942,39",Em aberto,00/00/0000,30/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,06/01/2025
01/2025,037977/05,EasyTech Shield Brasil LTDA,"5.942,39","5.942,39",Em aberto,00/00/0000,30/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,20/01/2025
01/2025,331670/03,CHIAPERINI INDUSTRIAL LTDA,"1.177,00","1.177,00",Em aberto,00/00/0000,31/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/01/2025
01/2025,034923/02,G & S HOME SOLUTIONS,"4.576,60","4.576,60",Em aberto,00/00/0000,06/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,29/12/2024
01/2025,6448/3,contabilidade,"4.421,67","4.421,67",Em aberto,00/00/0000,06/11/2024,-,-,Itaú,-,27/01/2025
01/2025,6466/3,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,06/11/2024,-,Google,Itaú,-,15/01/2025
01/2025,6478/3,MICROSOFT,45,45,Em aberto,00/00/0000,06/11/2024,-,Microsoft,Itaú,-,15/01/2025
01/2025,6490/3,Mercado Livre,"6.097,38","6.097,38",Em aberto,00/00/0000,06/11/2024,-,Mercado Livre Ads,Itaú,-,15/01/2025
01/2025,017951/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"9.285,74","9.285,74",Em aberto,00/00/0000,07/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,28/01/2025
01/2025,237595/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.916,82","1.916,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,07/01/2025
01/2025,236277/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"293,82","293,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/12/2024
01/2025,6438/2,Pleiades Entretenimento Ltda,250,250,Em aberto,00/00/0000,12/11/2024,-,-,Itaú,-,15/01/2025
01/2025,020116/03,M.N. INDUSTRIA DE PELES LTDA,"1.040,16","1.040,16",Em aberto,00/00/0000,18/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,08/01/2025
01/2025,038244/03,EasyTech Shield Brasil LTDA,"5.481,02","5.481,02",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/01/2025
01/2025,038244/04,EasyTech Shield Brasil LTDA,"5.481,02","5.481,02",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/01/2025
01/2025,6692/3,FOCUS DESENVOLVIMENTO GERENCIAL LTDA,"2.667,00","2.667,00",Em aberto,00/00/0000,22/11/2024,-,-,Itaú,-,27/01/2025
01/2025,035440/02,G & S HOME SOLUTIONS,"1.510,66","1.510,66",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,12/01/2025
01/2025,035691/02,G & S HOME SOLUTIONS,"1.414,00","1.414,00",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,20/01/2025
01/2025,238445/03,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.754,87","1.754,87",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,02/01/2025
01/2025,238445/04,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.754,87","1.754,87",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/01/2025
01/2025,238445/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.754,87","1.754,87",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,16/01/2025
01/2025,6741/1,CORREIOS,"11.000,00","11.000,00",Em aberto,00/00/0000,23/11/2024,-,Correios,Itaú,-,11/01/2025
01/2025,106291/03,EVC INDUSTRIAL LTDA,"589,73","589,73",Em aberto,00/00/0000,25/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/01/2025
,,,"219.142,31","219.142,31",,,,,,,,
02/2025,,HYPER CONSULTORIA,0,0,Em aberto,00/00/0000,20/01/2024,-,-,Itaú,-,17/02/2025
02/2025,,HYPER CONSULTORIA,"2.500,00","2.500,00",Em aberto,00/00/0000,20/01/2024,-,-,Itaú,-,28/02/2025
02/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,20/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,17/02/2025
02/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,20/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,28/02/2025
02/2025,1457/13,Mercado Livre,"17.623,78","17.623,78",Em aberto,00/00/0000,19/02/2024,-,Financiamento/capital de giro,Caixa,-,17/02/2025
02/2025,391905/12,LM Transportes Interestaduais Serviços e Comercio S/A,"1.789,00","1.789,00",Em aberto,00/00/0000,23/02/2024,-,Locações de máquinas e equipamentos,Itaú,-,10/02/2025
02/2025,previsão/12,E-Clik Serviços Digitais Ltda,"396,52","396,52",Em aberto,00/00/0000,04/03/2024,-,Propaganda e publicidade,Itaú,-,25/02/2025
02/2025,542162/12,Abralimp Assoc Brasileira do Mercado de Limp Profissional,386,386,Em aberto,00/00/0000,13/03/2024,-,-,Itaú,-,24/02/2025
02/2025,2290/12,HYPER CONSULTORIA,950,950,Em aberto,00/00/0000,15/03/2024,-,-,Itaú,-,17/02/2025
02/2025,2606/11,BNI BRASIL,"350,75","350,75",Em aberto,00/00/0000,30/03/2024,-,-,Sicredi,-,28/02/2025
02/2025,04/2024/11,Telefonica Brasil S/A,20,20,Em aberto,00/00/0000,10/04/2024,-,Telefone,Itaú,-,17/02/2025
02/2025,3164/10,IDERIS,"1.676,60","1.676,60",Em aberto,00/00/0000,16/04/2024,-,-,Itaú,-,17/02/2025
02/2025,3175/11,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,16/04/2024,-,Propaganda e publicidade,Sicredi,-,28/02/2025
02/2025,3404/10,Frenet - Gateway de Fretes,157,157,Em aberto,00/00/0000,23/04/2024,-,Software,Itaú,-,05/02/2025
02/2025,3676/10,ZapSign,"69,9","69,9",Em aberto,00/00/0000,27/04/2024,-,Zap Sing,Itaú,-,17/02/2025
02/2025,418472/10,2Eletro Com e Distr de Produtos,"264,02","264,02",Em aberto,00/00/0000,14/05/2024,-,-,Sicredi,-,28/02/2025
02/2025,152/9,Robmosan Comercio de Informática,"269,93","269,93",Em aberto,00/00/0000,17/05/2024,-,-,Sicredi,-,28/02/2025
02/2025,108904/07,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.556,89","2.556,89",Em aberto,00/00/0000,05/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/02/2025
02/2025,108971/07,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.107,70","1.107,70",Em aberto,00/00/0000,10/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/02/2025
02/2025,4760/8,Dohko Technology,649,649,Em aberto,00/00/0000,13/07/2024,-,-,Sicredi,-,28/02/2025
02/2025,07/2024/7,Telefonica Brasil S/A,"79,99","79,99",Em aberto,00/00/0000,23/07/2024,-,Internet,Itaú,-,03/02/2025
02/2025,5010/7,exame,"49,75","49,75",Em aberto,00/00/0000,03/07/2024,-,-,Itaú,-,17/02/2025
02/2025,110272/06,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.769,25","2.769,25",Em aberto,00/00/0000,09/08/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,13/02/2025
02/2025,1/36/7,Itau,"4.393,57","4.393,57",Em aberto,00/00/0000,14/08/2024,-,Financiamento/capital de giro,Itaú,-,26/02/2025
02/2025,5642/4,Aliança Imóveis,"8.000,00","8.000,00",Em aberto,00/00/0000,17/09/2024,Boleto Bancário,Aluguel,Itaú,-,16/02/2025
02/2025,PREVISÃO/6,Simples Nacional,"1.195,69","1.195,69",Em aberto,00/00/0000,19/09/2024,-,Impostos sobre vendas,Itaú,-,28/02/2025
02/2025,28572031/5,Boa Vista Serviços S/A,"101,07","101,07",Em aberto,00/00/0000,26/09/2024,-,Boa Vista Analise de Credito,Itaú,-,10/02/2025
02/2025,112666/04,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.026,06","2.026,06",Em aberto,00/00/0000,01/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,14/02/2025
02/2025,112752/04,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"3.725,56","3.725,56",Em aberto,00/00/0000,01/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,14/02/2025
02/2025,11823/5,Gotarget Softwares Ltda,200,200,Em aberto,00/00/0000,02/10/2024,Boleto Bancário,Gotarget,Itaú,-,05/02/2025
02/2025,146131/4,Seguros Sura S/A,"63,64","63,64",Em aberto,00/00/0000,04/10/2024,Boleto Bancário,-,Itaú,-,03/02/2025
02/2025,09/2024/5,Sabesp,"304,51","304,51",Em aberto,00/00/0000,12/10/2024,Boleto Bancário,Água,Itaú,-,25/02/2025
02/2025,11/2024,EDP,"515,25","515,25",Em aberto,00/00/0000,14/10/2024,Boleto Bancário,Energia elétrica,Itaú,-,18/02/2025
02/2025,6073/5,Bling Organisys Software,425,425,Em aberto,00/00/0000,16/10/2024,Boleto Bancário,BLING,Itaú,-,16/02/2025
02/2025,113270/04,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.525,34","2.525,34",Em aberto,00/00/0000,16/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,28/02/2025
02/2025,6111/5,BR24 SERVICES,"585,83","585,83",Em aberto,00/00/0000,17/10/2024,-,BR24,Sicredi,-,28/02/2025
02/2025,6123/5,PANDA VIDEO,"60,5","60,5",Em aberto,00/00/0000,17/10/2024,-,PANDA VIDEO,Sicredi,-,28/02/2025
02/2025,113564/03,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"7.664,04","7.664,04",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/02/2025
02/2025,35751341/5,Fundação de Apoio à Universidade de São Paulo - USP,"564,55","564,55",Em aberto,00/00/0000,25/10/2024,-,Treinamento e Aperfeiçoamento,Itaú,-,28/02/2025
02/2025,13/66/5,PRONAMPE,"3.934,12","3.934,12",Em aberto,00/00/0000,27/10/2024,-,Financiamento/capital de giro,Sicredi,-,27/02/2025
02/2025,034923/03,G & S HOME SOLUTIONS,"4.576,60","4.576,60",Em aberto,00/00/0000,06/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,28/01/2025
02/2025,6448/4,contabilidade,"4.421,67","4.421,67",Em aberto,00/00/0000,06/11/2024,-,-,Itaú,-,25/02/2025
02/2025,6466/4,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,06/11/2024,-,Google,Itaú,-,17/02/2025
02/2025,6478/4,MICROSOFT,45,45,Em aberto,00/00/0000,06/11/2024,-,Microsoft,Itaú,-,17/02/2025
02/2025,6490/4,Mercado Livre,"6.097,38","6.097,38",Em aberto,00/00/0000,06/11/2024,-,Mercado Livre Ads,Itaú,-,17/02/2025
02/2025,6438/3,Pleiades Entretenimento Ltda,250,250,Em aberto,00/00/0000,12/11/2024,-,-,Itaú,-,17/02/2025
02/2025,038244/05,EasyTech Shield Brasil LTDA,"5.481,02","5.481,02",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,06/02/2025
02/2025,6692/4,FOCUS DESENVOLVIMENTO GERENCIAL LTDA,"2.667,00","2.667,00",Em aberto,00/00/0000,22/11/2024,-,-,Itaú,-,27/02/2025
02/2025,035440/03,G & S HOME SOLUTIONS,"1.510,68","1.510,68",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/02/2025
02/2025,035691/03,G & S HOME SOLUTIONS,"1.414,00","1.414,00",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,19/02/2025
02/2025,6741/2,CORREIOS,"11.000,00","11.000,00",Em aberto,00/00/0000,23/11/2024,-,Correios,Itaú,-,11/02/2025
,,,"126.414,16","126.414,16",,,,,,,,
03/2025,,HYPER CONSULTORIA,0,0,Em aberto,00/00/0000,21/01/2024,-,-,Itaú,-,17/03/2025
03/2025,,HYPER CONSULTORIA,"2.500,00","2.500,00",Em aberto,00/00/0000,21/01/2024,-,-,Itaú,-,31/03/2025
03/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,21/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,17/03/2025
03/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,21/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,31/03/2025
03/2025,1457/14,Mercado Livre,"17.623,78","17.623,78",Em aberto,00/00/0000,19/02/2024,-,Financiamento/capital de giro,Caixa,-,17/03/2025
03/2025,391905/13,LM Transportes Interestaduais Serviços e Comercio S/A,"1.789,00","1.789,00",Em aberto,00/00/0000,23/02/2024,-,Locações de máquinas e equipamentos,Itaú,-,10/03/2025
03/2025,2606/12,BNI BRASIL,"350,75","350,75",Em aberto,00/00/0000,30/03/2024,-,-,Sicredi,-,28/03/2025
03/2025,04/2024/12,Telefonica Brasil S/A,20,20,Em aberto,00/00/0000,10/04/2024,-,Telefone,Itaú,-,17/03/2025
03/2025,3164/11,IDERIS,"1.676,60","1.676,60",Em aberto,00/00/0000,16/04/2024,-,-,Itaú,-,17/03/2025
03/2025,3175/12,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,16/04/2024,-,Propaganda e publicidade,Sicredi,-,28/03/2025
03/2025,3404/11,Frenet - Gateway de Fretes,157,157,Em aberto,00/00/0000,23/04/2024,-,Software,Itaú,-,05/03/2025
03/2025,3676/11,ZapSign,"69,9","69,9",Em aberto,00/00/0000,27/04/2024,-,Zap Sing,Itaú,-,17/03/2025
03/2025,152/10,Robmosan Comercio de Informática,"269,93","269,93",Em aberto,00/00/0000,17/05/2024,-,-,Sicredi,-,28/03/2025
03/2025,108904/08,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.556,87","2.556,87",Em aberto,00/00/0000,05/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/03/2025
03/2025,108971/08,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.107,70","1.107,70",Em aberto,00/00/0000,10/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,12/03/2025
03/2025,4760/9,Dohko Technology,649,649,Em aberto,00/00/0000,13/07/2024,-,-,Sicredi,-,31/03/2025
03/2025,07/2024/8,Telefonica Brasil S/A,"79,99","79,99",Em aberto,00/00/0000,23/07/2024,-,Internet,Itaú,-,03/03/2025
03/2025,5010/8,exame,"49,75","49,75",Em aberto,00/00/0000,03/07/2024,-,-,Itaú,-,17/03/2025
03/2025,110272/07,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.769,25","2.769,25",Em aberto,00/00/0000,09/08/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,15/03/2025
03/2025,1/36/8,Itau,"4.393,57","4.393,57",Em aberto,00/00/0000,14/08/2024,-,Financiamento/capital de giro,Itaú,-,26/03/2025
03/2025,5642/5,Aliança Imóveis,"8.000,00","8.000,00",Em aberto,00/00/0000,17/09/2024,Boleto Bancário,Aluguel,Itaú,-,16/03/2025
03/2025,PREVISÃO/7,Simples Nacional,"1.195,69","1.195,69",Em aberto,00/00/0000,19/09/2024,-,Impostos sobre vendas,Itaú,-,31/03/2025
03/2025,28572031/6,Boa Vista Serviços S/A,"101,07","101,07",Em aberto,00/00/0000,26/09/2024,-,Boa Vista Analise de Credito,Itaú,-,10/03/2025
03/2025,11823/6,Gotarget Softwares Ltda,200,200,Em aberto,00/00/0000,02/10/2024,Boleto Bancário,Gotarget,Itaú,-,05/03/2025
03/2025,146131/5,Seguros Sura S/A,"63,64","63,64",Em aberto,00/00/0000,04/10/2024,Boleto Bancário,-,Itaú,-,03/03/2025
03/2025,09/2024/6,Sabesp,"304,51","304,51",Em aberto,00/00/0000,12/10/2024,Boleto Bancário,Água,Itaú,-,25/03/2025
03/2025,11/2024,EDP,"515,25","515,25",Em aberto,00/00/0000,14/10/2024,Boleto Bancário,Energia elétrica,Itaú,-,18/03/2025
03/2025,6073/6,Bling Organisys Software,425,425,Em aberto,00/00/0000,16/10/2024,Boleto Bancário,BLING,Itaú,-,16/03/2025
03/2025,113270/05,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.525,36","2.525,36",Em aberto,00/00/0000,16/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,30/03/2025
03/2025,6111/6,BR24 SERVICES,"585,83","585,83",Em aberto,00/00/0000,17/10/2024,-,BR24,Sicredi,-,28/03/2025
03/2025,6123/6,PANDA VIDEO,"60,5","60,5",Em aberto,00/00/0000,17/10/2024,-,PANDA VIDEO,Sicredi,-,28/03/2025
03/2025,113564/04,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"7.664,04","7.664,04",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/03/2025
03/2025,35751341/6,Fundação de Apoio à Universidade de São Paulo - USP,"564,55","564,55",Em aberto,00/00/0000,25/10/2024,-,Treinamento e Aperfeiçoamento,Itaú,-,31/03/2025
03/2025,13/66/6,PRONAMPE,"3.934,12","3.934,12",Em aberto,00/00/0000,27/10/2024,-,Financiamento/capital de giro,Sicredi,-,27/03/2025
03/2025,6448/5,contabilidade,"4.421,67","4.421,67",Em aberto,00/00/0000,06/11/2024,-,-,Itaú,-,25/03/2025
03/2025,6466/5,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,06/11/2024,-,Google,Itaú,-,17/03/2025
03/2025,6478/5,MICROSOFT,45,45,Em aberto,00/00/0000,06/11/2024,-,Microsoft,Itaú,-,17/03/2025
03/2025,6490/5,Mercado Livre,"6.097,38","6.097,38",Em aberto,00/00/0000,06/11/2024,-,Mercado Livre Ads,Itaú,-,17/03/2025
03/2025,6438/4,Pleiades Entretenimento Ltda,250,250,Em aberto,00/00/0000,12/11/2024,-,-,Itaú,-,17/03/2025
03/2025,6692/5,FOCUS DESENVOLVIMENTO GERENCIAL LTDA,"2.667,00","2.667,00",Em aberto,00/00/0000,22/11/2024,-,-,Itaú,-,27/03/2025
03/2025,6741/3,CORREIOS,"11.000,00","11.000,00",Em aberto,00/00/0000,23/11/2024,-,Correios,Itaú,-,11/03/2025
,,,"105.683,70","105.683,70",,,,,,,,
04/2025,,HYPER CONSULTORIA,0,0,Em aberto,00/00/0000,22/01/2024,-,-,Itaú,-,15/04/2025
04/2025,,HYPER CONSULTORIA,"2.500,00","2.500,00",Em aberto,00/00/0000,22/01/2024,-,-,Itaú,-,30/04/2025
04/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,22/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,15/04/2025
04/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,22/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,29/04/2025
04/2025,1457/15,Mercado Livre,"17.623,78","17.623,78",Em aberto,00/00/0000,19/02/2024,-,Financiamento/capital de giro,Caixa,-,17/04/2025
04/2025,391905/14,LM Transportes Interestaduais Serviços e Comercio S/A,"1.789,00","1.789,00",Em aberto,00/00/0000,23/02/2024,-,Locações de máquinas e equipamentos,Itaú,-,10/04/2025
04/2025,3404/12,Frenet - Gateway de Fretes,157,157,Em aberto,00/00/0000,23/04/2024,-,Software,Itaú,-,07/04/2025
04/2025,3676/12,ZapSign,"69,9","69,9",Em aberto,00/00/0000,27/04/2024,-,Zap Sing,Itaú,-,15/04/2025
04/2025,4760/10,Dohko Technology,649,649,Em aberto,00/00/0000,13/07/2024,-,-,Sicredi,-,29/04/2025
04/2025,07/2024/9,Telefonica Brasil S/A,"79,99","79,99",Em aberto,00/00/0000,23/07/2024,-,Internet,Itaú,-,02/04/2025
04/2025,5010/9,exame,"49,75","49,75",Em aberto,00/00/0000,03/07/2024,-,-,Itaú,-,15/04/2025
04/2025,110272/08,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.769,25","2.769,25",Em aberto,00/00/0000,09/08/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,14/04/2025
04/2025,1/36/9,Itau,"4.393,57","4.393,57",Em aberto,00/00/0000,14/08/2024,-,Financiamento/capital de giro,Itaú,-,28/04/2025
04/2025,5642/6,Aliança Imóveis,"8.000,00","8.000,00",Em aberto,00/00/0000,17/09/2024,Boleto Bancário,Aluguel,Itaú,-,16/04/2025
04/2025,PREVISÃO/8,Simples Nacional,"1.195,69","1.195,69",Em aberto,00/00/0000,19/09/2024,-,Impostos sobre vendas,Itaú,-,30/04/2025
04/2025,28572031/7,Boa Vista Serviços S/A,"101,07","101,07",Em aberto,00/00/0000,26/09/2024,-,Boa Vista Analise de Credito,Itaú,-,08/04/2025
04/2025,11823/7,Gotarget Softwares Ltda,200,200,Em aberto,00/00/0000,02/10/2024,Boleto Bancário,Gotarget,Itaú,-,05/04/2025
04/2025,146131/6,Seguros Sura S/A,"63,64","63,64",Em aberto,00/00/0000,04/10/2024,Boleto Bancário,-,Itaú,-,03/04/2025
04/2025,09/2024/7,Sabesp,"304,51","304,51",Em aberto,00/00/0000,12/10/2024,Boleto Bancário,Água,Itaú,-,25/04/2025
04/2025,11/2024,EDP,"515,25","515,25",Em aberto,00/00/0000,14/10/2024,Boleto Bancário,Energia elétrica,Itaú,-,18/04/2025
04/2025,6073/7,Bling Organisys Software,425,425,Em aberto,00/00/0000,16/10/2024,Boleto Bancário,BLING,Itaú,-,16/04/2025
04/2025,6111/7,BR24 SERVICES,"585,83","585,83",Em aberto,00/00/0000,17/10/2024,-,BR24,Sicredi,-,28/04/2025
04/2025,6123/7,PANDA VIDEO,"60,5","60,5",Em aberto,00/00/0000,17/10/2024,-,PANDA VIDEO,Sicredi,-,28/04/2025
04/2025,113564/05,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"7.664,04","7.664,04",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/04/2025
04/2025,35751341/7,Fundação de Apoio à Universidade de São Paulo - USP,"564,55","564,55",Em aberto,00/00/0000,25/10/2024,-,Treinamento e Aperfeiçoamento,Itaú,-,30/04/2025
04/2025,13/66/7,PRONAMPE,"3.934,12","3.934,12",Em aberto,00/00/0000,27/10/2024,-,Financiamento/capital de giro,Sicredi,-,28/04/2025
04/2025,6448/6,contabilidade,"4.421,67","4.421,67",Em aberto,00/00/0000,06/11/2024,-,-,Itaú,-,25/04/2025
04/2025,6466/6,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,06/11/2024,-,Google,Itaú,-,15/04/2025
04/2025,6478/6,MICROSOFT,45,45,Em aberto,00/00/0000,06/11/2024,-,Microsoft,Itaú,-,15/04/2025
04/2025,6490/6,Mercado Livre,"6.097,38","6.097,38",Em aberto,00/00/0000,06/11/2024,-,Mercado Livre Ads,Itaú,-,15/04/2025
